"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testUpdatePatch","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testUpdatePatch"
"","3279","testDelayedResponse","Surefire suite","Sat Jan 25 15:30:22 GMT 2025","passed","Sat Jan 25 15:30:25 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testDelayedResponse"
"Получаем данные одного пользователя с id 2","94","testSingleUser","Surefire suite","Sat Jan 25 15:30:22 GMT 2025","passed","Sat Jan 25 15:30:22 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testSingleUser"
"","1","testSingleUser","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleUser"
"","120","testListUsers","Surefire suite","Sat Jan 25 15:30:26 GMT 2025","passed","Sat Jan 25 15:30:26 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testListUsers"
"Получаем список пользователей на странице 2","2520","testListUsers","Surefire suite","Sat Jan 25 15:30:19 GMT 2025","passed","Sat Jan 25 15:30:22 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testListUsers"
"","0","testSingleUserNotFound","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleUserNotFound"
"","0","testCreate","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testCreate"
"","199","testUpdatePut","Surefire suite","Sat Jan 25 15:30:28 GMT 2025","passed","Sat Jan 25 15:30:28 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testUpdatePut"
"","70","testSingleUser","Surefire suite","Sat Jan 25 15:30:27 GMT 2025","passed","Sat Jan 25 15:30:27 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleUser"
"","240","testUpdatePatch","Surefire suite","Sat Jan 25 15:30:27 GMT 2025","passed","Sat Jan 25 15:30:28 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testUpdatePatch"
"","1","testListUsers","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testListUsers"
"","0","testListResource","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testListResource"
"","245","testRegisterSuccessful","Surefire suite","Sat Jan 25 15:30:26 GMT 2025","passed","Sat Jan 25 15:30:27 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testRegisterSuccessful"
"","105","testSingleUserNotFound","Surefire suite","Sat Jan 25 15:30:27 GMT 2025","passed","Sat Jan 25 15:30:27 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleUserNotFound"
"","0","testLoginSuccessful","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testLoginSuccessful"
"Попытка получить данные несуществующего пользователя","80","testSingleUserNotFound","Surefire suite","Sat Jan 25 15:30:22 GMT 2025","passed","Sat Jan 25 15:30:22 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testSingleUserNotFound"
"","69","testSingleResource","Surefire suite","Sat Jan 25 15:30:27 GMT 2025","passed","Sat Jan 25 15:30:27 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleResource"
"","0","testRegisterUnsuccessful","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testRegisterUnsuccessful"
"","0","testDelayedResponse","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testDelayedResponse"
"","200","testSingleResourceNotFound","Surefire suite","Sat Jan 25 15:30:27 GMT 2025","passed","Sat Jan 25 15:30:27 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleResourceNotFound"
"","247","testLoginSuccessful","Surefire suite","Sat Jan 25 15:30:26 GMT 2025","passed","Sat Jan 25 15:30:26 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testLoginSuccessful"
"","0","testSingleResource","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleResource"
"","0","testUpdatePut","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testUpdatePut"
"","242","testRegisterUnsuccessful","Surefire suite","Sat Jan 25 15:30:27 GMT 2025","passed","Sat Jan 25 15:30:27 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testRegisterUnsuccessful"
"","98","testListResource","Surefire suite","Sat Jan 25 15:30:26 GMT 2025","passed","Sat Jan 25 15:30:26 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testListResource"
"","381","testCreate","Surefire suite","Sat Jan 25 15:30:22 GMT 2025","passed","Sat Jan 25 15:30:22 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testCreate"
"","0","testRegisterSuccessful","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testRegisterSuccessful"
"","0","testDelete","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testDelete"
"","0","testSingleResourceNotFound","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleResourceNotFound"
"","0","testLoginUnsuccessful","Surefire suite","Sat Jan 25 15:30:18 GMT 2025","unknown","Sat Jan 25 15:30:18 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testLoginUnsuccessful"
"","248","testDelete","Surefire suite","Sat Jan 25 15:30:25 GMT 2025","passed","Sat Jan 25 15:30:26 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testDelete"
"","242","testLoginUnsuccessful","Surefire suite","Sat Jan 25 15:30:26 GMT 2025","passed","Sat Jan 25 15:30:26 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testLoginUnsuccessful"
