"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","340","testUpdatePatch","Surefire suite","Sun Feb 23 15:35:38 GMT 2025","passed","Sun Feb 23 15:35:39 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testUpdatePatch"
"","113","testSingleResource","Surefire suite","Sun Feb 23 15:35:38 GMT 2025","passed","Sun Feb 23 15:35:38 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleResource"
"","303","testLoginUnsuccessful","Surefire suite","Sun Feb 23 15:35:44 GMT 2025","passed","Sun Feb 23 15:35:44 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testLoginUnsuccessful"
"","317","testUpdatePatch","Surefire suite","Sun Feb 23 15:35:45 GMT 2025","passed","Sun Feb 23 15:35:45 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testUpdatePatch"
"","66","testSingleResource","Surefire suite","Sun Feb 23 15:35:45 GMT 2025","passed","Sun Feb 23 15:35:45 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleResource"
"","66","testSingleUserNotFound","Surefire suite","Sun Feb 23 15:35:38 GMT 2025","passed","Sun Feb 23 15:35:38 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleUserNotFound"
"Получаем данные одного пользователя с id 2","100","testSingleUser","Surefire suite","Sun Feb 23 15:35:32 GMT 2025","passed","Sun Feb 23 15:35:32 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testSingleUser"
"","65","testSingleUser","Surefire suite","Sun Feb 23 15:35:38 GMT 2025","passed","Sun Feb 23 15:35:38 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleUser"
"","327","testLoginSuccessful","Surefire suite","Sun Feb 23 15:35:43 GMT 2025","passed","Sun Feb 23 15:35:44 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testLoginSuccessful"
"","332","testLoginUnsuccessful","Surefire suite","Sun Feb 23 15:35:37 GMT 2025","passed","Sun Feb 23 15:35:37 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testLoginUnsuccessful"
"Попытка получить данные несуществующего пользователя","346","testSingleUserNotFound","Surefire suite","Sun Feb 23 15:35:32 GMT 2025","passed","Sun Feb 23 15:35:32 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testSingleUserNotFound"
"","103","testListUsers","Surefire suite","Sun Feb 23 15:35:43 GMT 2025","passed","Sun Feb 23 15:35:43 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testListUsers"
"","327","testDelete","Surefire suite","Sun Feb 23 15:35:36 GMT 2025","passed","Sun Feb 23 15:35:36 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testDelete"
"","71","testListResource","Surefire suite","Sun Feb 23 15:35:36 GMT 2025","passed","Sun Feb 23 15:35:36 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testListResource"
"","337","testRegisterUnsuccessful","Surefire suite","Sun Feb 23 15:35:37 GMT 2025","passed","Sun Feb 23 15:35:38 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testRegisterUnsuccessful"
"","309","testDelete","Surefire suite","Sun Feb 23 15:35:43 GMT 2025","passed","Sun Feb 23 15:35:43 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testDelete"
