"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","testSingleResourceNotFound","Surefire suite","Tue Jan 28 21:03:29 GMT 2025","passed","Tue Jan 28 21:03:29 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleResourceNotFound"
"","79","testSingleUser","Surefire suite","Tue Jan 28 21:03:29 GMT 2025","passed","Tue Jan 28 21:03:29 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleUser"
"","311","testRegisterUnsuccessful","Surefire suite","Tue Jan 28 21:03:29 GMT 2025","passed","Tue Jan 28 21:03:29 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testRegisterUnsuccessful"
"","320","testRegisterSuccessful","Surefire suite","Tue Jan 28 21:03:22 GMT 2025","passed","Tue Jan 28 21:03:22 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testRegisterSuccessful"
"","387","testCreate","Surefire suite","Tue Jan 28 21:03:24 GMT 2025","passed","Tue Jan 28 21:03:24 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testCreate"
"","296","testUpdatePut","Surefire suite","Tue Jan 28 21:03:23 GMT 2025","passed","Tue Jan 28 21:03:24 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testUpdatePut"
"","334","testLoginSuccessful","Surefire suite","Tue Jan 28 21:03:21 GMT 2025","passed","Tue Jan 28 21:03:21 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testLoginSuccessful"
"","314","testSingleResource","Surefire suite","Tue Jan 28 21:03:22 GMT 2025","passed","Tue Jan 28 21:03:23 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleResource"
"","119","testListUsers","Surefire suite","Tue Jan 28 21:03:28 GMT 2025","passed","Tue Jan 28 21:03:28 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testListUsers"
"","331","testRegisterSuccessful","Surefire suite","Tue Jan 28 21:03:29 GMT 2025","passed","Tue Jan 28 21:03:29 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testRegisterSuccessful"
"","318","testLoginUnsuccessful","Surefire suite","Tue Jan 28 21:03:21 GMT 2025","passed","Tue Jan 28 21:03:22 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testLoginUnsuccessful"
"","58","testSingleUser","Surefire suite","Tue Jan 28 21:03:23 GMT 2025","passed","Tue Jan 28 21:03:23 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleUser"
"","60","testSingleResource","Surefire suite","Tue Jan 28 21:03:29 GMT 2025","passed","Tue Jan 28 21:03:29 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testSingleResource"
"","316","testDelete","Surefire suite","Tue Jan 28 21:03:27 GMT 2025","passed","Tue Jan 28 21:03:28 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testDelete"
"Попытка получить данные несуществующего пользователя","340","testSingleUserNotFound","Surefire suite","Tue Jan 28 21:03:16 GMT 2025","passed","Tue Jan 28 21:03:17 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testSingleUserNotFound"
"Получаем данные одного пользователя с id 2","82","testSingleUser","Surefire suite","Tue Jan 28 21:03:16 GMT 2025","passed","Tue Jan 28 21:03:16 GMT 2025","ru.korobovs.tests.ApiWithAllureTest","Surefire test","ru.korobovs.tests.ApiWithAllureTest","testSingleUser"
"","91","testListResource","Surefire suite","Tue Jan 28 21:03:21 GMT 2025","passed","Tue Jan 28 21:03:21 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testListResource"
"","58","testSingleUserNotFound","Surefire suite","Tue Jan 28 21:03:23 GMT 2025","passed","Tue Jan 28 21:03:23 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testSingleUserNotFound"
"","321","testUpdatePatch","Surefire suite","Tue Jan 28 21:03:23 GMT 2025","passed","Tue Jan 28 21:03:23 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testUpdatePatch"
"","335","testUpdatePatch","Surefire suite","Tue Jan 28 21:03:29 GMT 2025","passed","Tue Jan 28 21:03:30 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testUpdatePatch"
"","432","testCreate","Surefire suite","Tue Jan 28 21:03:17 GMT 2025","passed","Tue Jan 28 21:03:17 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testCreate"
"","356","testUpdatePut","Surefire suite","Tue Jan 28 21:03:30 GMT 2025","passed","Tue Jan 28 21:03:30 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testUpdatePut"
"","328","testDelete","Surefire suite","Tue Jan 28 21:03:20 GMT 2025","passed","Tue Jan 28 21:03:21 GMT 2025","ru.korobovs.tests.ApiWithPojoTest","Surefire test","ru.korobovs.tests.ApiWithPojoTest","testDelete"
"","321","testLoginUnsuccessful","Surefire suite","Tue Jan 28 21:03:28 GMT 2025","passed","Tue Jan 28 21:03:29 GMT 2025","ru.korobovs.tests.ApiTest","Surefire test","ru.korobovs.tests.ApiTest","testLoginUnsuccessful"
