"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создаем пользователя с именем ""null""","218","testCreateUserNullName","All test","Mon Mar 17 17:15:59 GMT 2025","passed","Mon Mar 17 17:15:59 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testCreateUserNullName"
"Регистрация с не валидными данными","1623","testRegisterNegative","All test","Mon Mar 17 17:15:55 GMT 2025","passed","Mon Mar 17 17:15:57 GMT 2025","ru.korobovs.tests.RegisterTest","Tests with xml","ru.korobovs.tests.RegisterTest","testRegisterNegative"
"Регистрация с валидными данными","940","testRegisterPositive","All test","Mon Mar 17 17:15:57 GMT 2025","passed","Mon Mar 17 17:15:58 GMT 2025","ru.korobovs.tests.RegisterTest","Tests with xml","ru.korobovs.tests.RegisterTest","testRegisterPositive"
"Создаем пользователя с валидными данными","567","testCreateUser","All test","Mon Mar 17 17:15:58 GMT 2025","passed","Mon Mar 17 17:15:59 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testCreateUser"
"Удаляем нужного user","204","testDeleteUser","All test","Mon Mar 17 17:15:59 GMT 2025","passed","Mon Mar 17 17:15:59 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testDeleteUser"
"Логирование с валидными данными","229","testLoginPositive","All test","Mon Mar 17 17:15:58 GMT 2025","passed","Mon Mar 17 17:15:58 GMT 2025","ru.korobovs.tests.LoginTest","Tests with xml","ru.korobovs.tests.LoginTest","testLoginPositive"
"Логирование с не валидными данными","229","testLoginNegative","All test","Mon Mar 17 17:15:58 GMT 2025","passed","Mon Mar 17 17:15:58 GMT 2025","ru.korobovs.tests.LoginTest","Tests with xml","ru.korobovs.tests.LoginTest","testLoginNegative"
"Обновление поля job с несуществующим userId","309","testUpdateUserNotUserId","All test","Mon Mar 17 17:16:00 GMT 2025","failed","Mon Mar 17 17:16:00 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testUpdateUserNotUserId"
"Обновление поля job с несуществующим userId","226","testDeleteUserNotUserId","All test","Mon Mar 17 17:15:59 GMT 2025","passed","Mon Mar 17 17:16:00 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testDeleteUserNotUserId"
"Обновление поля job на валидное значение","209","testUpdateUser","All test","Mon Mar 17 17:16:00 GMT 2025","passed","Mon Mar 17 17:16:00 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testUpdateUser"
