"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Регистрация с не валидными данными","1610","testRegisterNegative","All test","Mon Mar 17 15:46:30 GMT 2025","passed","Mon Mar 17 15:46:32 GMT 2025","ru.korobovs.tests.RegisterTest","Вторая ступень","ru.korobovs.tests.RegisterTest","testRegisterNegative"
"Логирование с валидными данными","225","testLoginPositive","All test","Mon Mar 17 15:46:33 GMT 2025","passed","Mon Mar 17 15:46:33 GMT 2025","ru.korobovs.tests.LoginTest","Вторая ступень","ru.korobovs.tests.LoginTest","testLoginPositive"
"Регистрация с валидными данными","904","testRegisterPositive","All test","Mon Mar 17 15:46:32 GMT 2025","passed","Mon Mar 17 15:46:33 GMT 2025","ru.korobovs.tests.RegisterTest","Вторая ступень","ru.korobovs.tests.RegisterTest","testRegisterPositive"
"Создаем пользователя с именем ""null""","213","testCreateUserNullName","All test","Mon Mar 17 15:46:34 GMT 2025","passed","Mon Mar 17 15:46:34 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testCreateUserNullName"
"Логирование с не валидными данными","251","testLoginNegative","All test","Mon Mar 17 15:46:33 GMT 2025","passed","Mon Mar 17 15:46:33 GMT 2025","ru.korobovs.tests.LoginTest","Вторая ступень","ru.korobovs.tests.LoginTest","testLoginNegative"
"Создаем пользователя с валидными данными","601","testCreateUser","All test","Mon Mar 17 15:46:33 GMT 2025","passed","Mon Mar 17 15:46:34 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testCreateUser"
"Обновление поля job на валидное значение","224","testUpdateUser","All test","Mon Mar 17 15:46:34 GMT 2025","passed","Mon Mar 17 15:46:35 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testUpdateUser"
"Обновление поля job с несуществующим userId","220","testUpdateUserNotUserId","All test","Mon Mar 17 15:46:35 GMT 2025","failed","Mon Mar 17 15:46:35 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testUpdateUserNotUserId"
"Обновление поля job с несуществующим userId","216","testDeleteUserNotUserId","All test","Mon Mar 17 15:46:34 GMT 2025","passed","Mon Mar 17 15:46:34 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testDeleteUserNotUserId"
"Удаляем нужного user","230","testDeleteUser","All test","Mon Mar 17 15:46:34 GMT 2025","passed","Mon Mar 17 15:46:34 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testDeleteUser"
