"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Регистрация с валидными данными","935","testRegisterPositive","All test","Mon Mar 17 17:15:02 GMT 2025","passed","Mon Mar 17 17:15:03 GMT 2025","ru.korobovs.tests.RegisterTest","Tests with xml","ru.korobovs.tests.RegisterTest","testRegisterPositive"
"Логирование с не валидными данными","222","testLoginNegative","All test","Mon Mar 17 17:15:03 GMT 2025","passed","Mon Mar 17 17:15:03 GMT 2025","ru.korobovs.tests.LoginTest","Tests with xml","ru.korobovs.tests.LoginTest","testLoginNegative"
"Удаляем нужного user","207","testDeleteUser","All test","Mon Mar 17 17:15:04 GMT 2025","passed","Mon Mar 17 17:15:04 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testDeleteUser"
"Логирование с валидными данными","234","testLoginPositive","All test","Mon Mar 17 17:15:03 GMT 2025","passed","Mon Mar 17 17:15:03 GMT 2025","ru.korobovs.tests.LoginTest","Tests with xml","ru.korobovs.tests.LoginTest","testLoginPositive"
"Обновление поля job с несуществующим userId","201","testDeleteUserNotUserId","All test","Mon Mar 17 17:15:04 GMT 2025","passed","Mon Mar 17 17:15:05 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testDeleteUserNotUserId"
"Обновление поля job на валидное значение","204","testUpdateUser","All test","Mon Mar 17 17:15:05 GMT 2025","passed","Mon Mar 17 17:15:05 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testUpdateUser"
"Регистрация с не валидными данными","1570","testRegisterNegative","All test","Mon Mar 17 17:15:00 GMT 2025","passed","Mon Mar 17 17:15:02 GMT 2025","ru.korobovs.tests.RegisterTest","Tests with xml","ru.korobovs.tests.RegisterTest","testRegisterNegative"
"Создаем пользователя с именем ""null""","217","testCreateUserNullName","All test","Mon Mar 17 17:15:04 GMT 2025","passed","Mon Mar 17 17:15:04 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testCreateUserNullName"
"Обновление поля job с несуществующим userId","214","testUpdateUserNotUserId","All test","Mon Mar 17 17:15:05 GMT 2025","failed","Mon Mar 17 17:15:05 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testUpdateUserNotUserId"
"Создаем пользователя с валидными данными","554","testCreateUser","All test","Mon Mar 17 17:15:03 GMT 2025","passed","Mon Mar 17 17:15:04 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testCreateUser"
