"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Обновление поля job на валидное значение","210","testUpdateUser","All test","Wed Jul 09 03:58:59 GMT 2025","failed","Wed Jul 09 03:58:59 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testUpdateUser"
"Регистрация с валидными данными","209","testRegisterPositive","All test","Wed Jul 09 03:58:57 GMT 2025","failed","Wed Jul 09 03:58:57 GMT 2025","ru.korobovs.tests.RegisterTest","Tests with xml","ru.korobovs.tests.RegisterTest","testRegisterPositive"
"Регистрация с не валидными данными","1545","testRegisterNegative","All test","Wed Jul 09 03:58:55 GMT 2025","failed","Wed Jul 09 03:58:57 GMT 2025","ru.korobovs.tests.RegisterTest","Tests with xml","ru.korobovs.tests.RegisterTest","testRegisterNegative"
"Логирование с валидными данными","200","testLoginPositive","All test","Wed Jul 09 03:58:57 GMT 2025","failed","Wed Jul 09 03:58:57 GMT 2025","ru.korobovs.tests.LoginTest","Tests with xml","ru.korobovs.tests.LoginTest","testLoginPositive"
"Создаем пользователя с именем ""null""","218","testCreateUserNullName","All test","Wed Jul 09 03:58:58 GMT 2025","failed","Wed Jul 09 03:58:58 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testCreateUserNullName"
"Удаляем нужного user","205","testDeleteUser","All test","Wed Jul 09 03:58:58 GMT 2025","failed","Wed Jul 09 03:58:59 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testDeleteUser"
"Создаем пользователя с валидными данными","661","testCreateUser","All test","Wed Jul 09 03:58:58 GMT 2025","failed","Wed Jul 09 03:58:58 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testCreateUser"
"Обновление поля job с несуществующим userId","203","testUpdateUserNotUserId","All test","Wed Jul 09 03:58:59 GMT 2025","failed","Wed Jul 09 03:58:59 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testUpdateUserNotUserId"
"Логирование с не валидными данными","222","testLoginNegative","All test","Wed Jul 09 03:58:57 GMT 2025","failed","Wed Jul 09 03:58:57 GMT 2025","ru.korobovs.tests.LoginTest","Tests with xml","ru.korobovs.tests.LoginTest","testLoginNegative"
"Обновление поля job с несуществующим userId","205","testDeleteUserNotUserId","All test","Wed Jul 09 03:58:59 GMT 2025","failed","Wed Jul 09 03:58:59 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Tests with xml","ru.korobovs.tests.CRUDUsersTest","testDeleteUserNotUserId"
