"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Reqres API Tests","2","CRUD user","0","0","Update user","0"
"0","Reqres API Tests","2","Register","0","0","Register","0"
"0","Reqres API Tests","2","Login","0","0","Login","0"
"0","Reqres API Tests","2","CRUD user","0","0","Create user","0"
"0","Reqres API Tests","2","CRUD user","0","0","Delete user","0"
