"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создаем пользователя с именем ""null""","216","testCreateUserNullName","Surefire suite","Wed Feb 26 17:33:20 GMT 2025","failed","Wed Feb 26 17:33:21 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testCreateUserNullName"
"Создаем пользователя с валидными данными","1979","testCreateUser","Surefire suite","Wed Feb 26 17:33:18 GMT 2025","passed","Wed Feb 26 17:33:20 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testCreateUser"
"Обновление поля job с несуществующим userId","206","testUpdateUserNotUserId","Surefire suite","Wed Feb 26 17:33:21 GMT 2025","failed","Wed Feb 26 17:33:21 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testUpdateUserNotUserId"
"Удаляем нужного user","216","testDeleteUser","Surefire suite","Wed Feb 26 17:33:21 GMT 2025","passed","Wed Feb 26 17:33:21 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testDeleteUser"
"Обновление поля job с несуществующим userId","217","testDeleteUserNotUserId","Surefire suite","Wed Feb 26 17:33:21 GMT 2025","failed","Wed Feb 26 17:33:21 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testDeleteUserNotUserId"
"Обновление поля job на валидное значение","221","testUpdateUser","Surefire suite","Wed Feb 26 17:33:21 GMT 2025","passed","Wed Feb 26 17:33:21 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testUpdateUser"
