"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Обновление поля job на валидное значение","214","testUpdateUser","Surefire suite","Wed Feb 26 15:27:55 GMT 2025","passed","Wed Feb 26 15:27:55 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testUpdateUser"
"Удаляем нужного user","282","testDeleteUser","Surefire suite","Wed Feb 26 15:27:54 GMT 2025","passed","Wed Feb 26 15:27:54 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testDeleteUser"
"Обновление поля job с несуществующим userId","217","testDeleteUserNotUserId","Surefire suite","Wed Feb 26 15:27:54 GMT 2025","failed","Wed Feb 26 15:27:55 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testDeleteUserNotUserId"
"Обновление поля job с несуществующим userId","230","testUpdateUserNotUserId","Surefire suite","Wed Feb 26 15:27:55 GMT 2025","failed","Wed Feb 26 15:27:55 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testUpdateUserNotUserId"
"Создаем пользователя с именем ""null""","240","testCreateUserNullName","Surefire suite","Wed Feb 26 15:27:54 GMT 2025","failed","Wed Feb 26 15:27:54 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testCreateUserNullName"
"Создаем пользователя с валидными данными","1809","testCreateUser","Surefire suite","Wed Feb 26 15:27:52 GMT 2025","passed","Wed Feb 26 15:27:54 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testCreateUser"
