"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Логирование с не валидными данными","345","testLoginNegative","All test","Mon Mar 17 15:46:25 GMT 2025","passed","Mon Mar 17 15:46:26 GMT 2025","ru.korobovs.tests.LoginTest","Вторая ступень","ru.korobovs.tests.LoginTest","testLoginNegative"
"Регистрация с не валидными данными","1590","testRegisterNegative","All test","Mon Mar 17 15:46:22 GMT 2025","passed","Mon Mar 17 15:46:24 GMT 2025","ru.korobovs.tests.RegisterTest","Вторая ступень","ru.korobovs.tests.RegisterTest","testRegisterNegative"
"Удаляем нужного user","326","testDeleteUser","All test","Mon Mar 17 15:46:27 GMT 2025","passed","Mon Mar 17 15:46:27 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testDeleteUser"
"Логирование с валидными данными","336","testLoginPositive","All test","Mon Mar 17 15:46:26 GMT 2025","passed","Mon Mar 17 15:46:26 GMT 2025","ru.korobovs.tests.LoginTest","Вторая ступень","ru.korobovs.tests.LoginTest","testLoginPositive"
"Обновление поля job с несуществующим userId","316","testDeleteUserNotUserId","All test","Mon Mar 17 15:46:27 GMT 2025","passed","Mon Mar 17 15:46:28 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testDeleteUserNotUserId"
"Регистрация с валидными данными","1072","testRegisterPositive","All test","Mon Mar 17 15:46:24 GMT 2025","passed","Mon Mar 17 15:46:25 GMT 2025","ru.korobovs.tests.RegisterTest","Вторая ступень","ru.korobovs.tests.RegisterTest","testRegisterPositive"
"Обновление поля job на валидное значение","329","testUpdateUser","All test","Mon Mar 17 15:46:28 GMT 2025","passed","Mon Mar 17 15:46:28 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testUpdateUser"
"Создаем пользователя с валидными данными","708","testCreateUser","All test","Mon Mar 17 15:46:26 GMT 2025","passed","Mon Mar 17 15:46:27 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testCreateUser"
"Обновление поля job с несуществующим userId","332","testUpdateUserNotUserId","All test","Mon Mar 17 15:46:28 GMT 2025","failed","Mon Mar 17 15:46:28 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testUpdateUserNotUserId"
"Создаем пользователя с именем ""null""","330","testCreateUserNullName","All test","Mon Mar 17 15:46:27 GMT 2025","passed","Mon Mar 17 15:46:27 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Вторая ступень","ru.korobovs.tests.CRUDUsersTest","testCreateUserNullName"
