"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создаем пользователя с валидными данными","1988","testCreateUser","Surefire suite","Wed Feb 26 15:25:20 GMT 2025","passed","Wed Feb 26 15:25:22 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testCreateUser"
"Удаляем нужного user","227","testDeleteUser","Surefire suite","Wed Feb 26 15:25:23 GMT 2025","passed","Wed Feb 26 15:25:23 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testDeleteUser"
"Обновление поля job с несуществующим userId","229","testDeleteUserNotUserId","Surefire suite","Wed Feb 26 15:25:23 GMT 2025","failed","Wed Feb 26 15:25:23 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testDeleteUserNotUserId"
"Обновление поля job с несуществующим userId","198","testUpdateUserNotUserId","Surefire suite","Wed Feb 26 15:25:23 GMT 2025","failed","Wed Feb 26 15:25:24 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testUpdateUserNotUserId"
"Обновление поля job на валидное значение","195","testUpdateUser","Surefire suite","Wed Feb 26 15:25:23 GMT 2025","passed","Wed Feb 26 15:25:23 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testUpdateUser"
"Создаем пользователя с именем ""null""","241","testCreateUserNullName","Surefire suite","Wed Feb 26 15:25:22 GMT 2025","failed","Wed Feb 26 15:25:23 GMT 2025","ru.korobovs.tests.CRUDUsersTest","Surefire test","ru.korobovs.tests.CRUDUsersTest","testCreateUserNullName"
