"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Reqres API Tests","1","CRUD user","1","0","Create user","0"
"0","Reqres API Tests","1","CRUD user","1","0","Delete user","0"
"0","Reqres API Tests","1","CRUD user","1","0","Update user","0"
